2,0,1.68,4.22,Home
2,1,6.99,4.92,Home
0,2,2.49,3.48,Home
3,1,1.55,4.78,Home
2,4,1.8,4.26,Home
2,0,1.17,8.76,Home
5,0,1.3,6.23,Home
1,0,2.84,3.51,Home
3,0,1.79,3.88,Home
1,2,2.37,3.29,Home
0,3,9.85,6.36,Home
1,3,5.14,4.29,Home
1,3,5.91,4.13,Home
1,0,1.79,3.71,Home
1,0,1.85,3.77,Home
1,2,1.62,4.5,Home
2,1,1.7,3.87,Home
3,2,7.33,4.7,Home
1,1,1.3,5.92,Home
0,2,2.66,3.84,Home
0,1,1.37,5.18,Home
1,2,12.3,7.28,Home
2,0,1.55,4.53,Home
3,2,3.14,3.53,Home
1,1,3.55,3.58,Home
3,1,1.88,3.77,Home
0,4,3.54,3.84,Home
3,4,8.78,5.87,Home
2,4,2.8,3.76,Home
0,0,3.04,3.35,Home
0,1,1.95,3.41,Home
3,1,1.89,3.82,Home
1,2,3.74,3.58,Home
0,2,2.24,3.45,Home
3,1,1.5,4.52,Home
0,1,2.15,3.56,Home
1,3,4.49,3.99,Home
2,1,3.94,3.34,Home
2,0,1.31,6.01,Home
1,2,2.04,3.39,Home
0,2,2.98,3.23,Home
3,1,4.01,3.98,Home
2,4,1.4,4.93,Home
1,2,3.06,3.56,Home
1,1,2.58,3.14,Home
4,0,1.33,5.54,Home
0,2,3.81,3.65,Home
1,2,1.98,3.78,Home
2,0,1.48,4.26,Home
2,0,2.08,3.54,Home
0,2,10.03,5.5,Away
1,1,4.17,3.82,Away
2,1,1.43,4.7,Away
2,2,2.09,3.51,Away
0,0,4.41,3.97,Away
0,4,2.35,3.13,Away
1,0,6.38,3.99,Away
0,1,5.25,3.99,Away
1,1,1.22,7.35,Away
0,1,2.04,3.59,Away
3,0,1.64,4,Away
1,2,9.89,5.39,Away
2,1,1.86,3.84,Away
0,0,1.69,3.74,Away
1,1,5.24,4.5,Away
3,1,1.37,5.27,Away
1,1,1.85,3.7,Away
1,0,1.79,3.46,Away
3,2,3.46,3.43,Away
2,2,3.55,3.49,Away
0,0,2.15,3.5,Away
3,0,3.65,3.62,Away
0,3,5.65,3.91,Away
1,3,2.97,3.58,Away
3,2,3.22,3.28,Away
1,2,2.28,3.36,Away
1,4,7.56,4.26,Away
2,1,1.47,4.76,Away
1,2,1.38,5.32,Away
0,1,2.67,3.12,Away
2,3,2.91,3.2,Away
1,1,1.85,3.48,Away
2,1,1.67,3.97,Away
3,1,2.51,3.23,Away
2,2,5.54,3.91,Away
3,2,2.03,3.41,Away
0,3,2.94,3.65,Away
0,2,5.49,4,Away
2,1,1.56,4.27,Away
2,5,1.27,5.92,Away
0,2,3.11,3.47,Away
3,3,3.54,3.52,Away
3,0,1.73,3.59,Away
1,2,2.58,3.36,Away
0,1,5.84,3.93,Away
1,0,1.81,3.63,Away
2,1,2.68,3.35,Away
5,0,1.53,4.05,Away
1,2,3.26,3.22,Away
0,3,8.44,4.77,Away
1,2,2.01,3.34,Draw
1,0,2.37,3.14,Draw
0,0,5.15,3.94,Draw
1,1,3.73,3.37,Draw
5,2,1.18,7.59,Draw
2,0,2.26,3.61,Draw
2,0,1.63,3.94,Draw
4,1,1.55,4.18,Draw
0,2,1.5,4.47,Draw
0,1,1.64,4.02,Draw
0,0,2.34,3.24,Draw
1,2,2.55,3.22,Draw
0,0,2.64,3.16,Draw
0,2,3.83,3.38,Draw
1,1,5.03,3.66,Draw
0,1,2.23,3.52,Draw
0,1,3.96,3.47,Draw
0,1,4,3.51,Draw
0,0,7.68,4.69,Draw
1,1,3.9,3.15,Draw
1,0,3.62,3.42,Draw
4,1,1.22,6.73,Draw
1,0,2.15,3.51,Draw
0,2,8.15,5.38,Draw
0,0,2.37,3.36,Draw
4,0,1.51,4.3,Draw
0,0,3.51,3.25,Draw
1,3,2.38,3.37,Draw
1,1,3.71,3.17,Draw
0,1,2.05,3.82,Draw
1,0,4.54,3.57,Draw
2,1,1.27,6.4,Draw
3,0,2.19,3.65,Draw
1,2,1.77,3.5,Draw
3,1,1.34,5.5,Draw
0,1,7,4.61,Draw
1,2,3.74,3.71,Draw
2,1,3.08,3.46,Draw
1,0,1.99,3.38,Draw
0,2,1.38,5.38,Draw
0,0,2.17,3.3,Draw
1,1,4.75,3.8,Draw
1,0,2.31,3.41,Draw
1,3,11.24,5.86,Draw
1,1,2.98,3.17,Draw
2,0,1.29,5.91,Draw
3,0,2.04,3.31,Draw
0,2,2.03,3.42,Draw
4,2,1.83,3.89,Draw
1,1,9.85,5.93,Draw
1,2,2.29,3.28,Home
0,0,2.93,3.39,Home
3,0,1.34,5.86,Home
0,3,2.85,3.16,Home
3,1,3.8,3.91,Home
2,0,1.81,3.75,Home
1,2,7.08,4.33,Home
1,4,3.18,3.66,Home
0,0,3.39,3.27,Home
2,0,1.39,5.02,Home
3,3,1.62,4.21,Home
0,0,4.14,3.69,Home
1,1,3.71,3.2,Home
3,2,3.32,3.51,Home
1,0,2.99,3.5,Home
0,1,4.05,3.52,Home
1,3,2.37,3.49,Home
0,1,1.5,4.63,Home
1,2,2.61,3.5,Home
0,2,15.97,6.98,Home
0,2,3.85,3.37,Home
9,0,1.45,4.88,Home
1,2,2.95,3.32,Home
2,1,2.13,3.39,Home
2,1,3.68,3.3,Home
1,0,3.28,3.38,Home
1,3,3.54,3.72,Home
1,3,1.85,3.91,Home
2,0,1.34,5.31,Home
0,1,3.28,3.71,Home
0,0,3.54,3.58,Home
1,0,2.96,3.14,Home
1,0,1.18,7.48,Home
2,2,3.55,3.31,Home
0,2,1.57,4.13,Home
1,3,3.61,3.86,Home
1,1,3.22,3.3,Home
1,2,1.28,6.09,Home
0,0,2.07,3.38,Home
3,2,4.42,3.75,Home
0,0,1.65,3.88,Home
1,3,3.56,3.72,Home
0,5,19.47,8.46,Home
2,3,3.56,3.37,Home
1,2,4.08,4.01,Home
2,0,1.52,4.65,Home
0,1,1.33,5.65,Home
1,2,5.67,4.16,Home
2,0,1.31,5.91,Home
2,0,2.82,3.48,Home
2,1,1.54,4.27,Home
3,0,1.43,4.81,Home
4,0,1.18,7.74,Home
0,0,1.96,3.9,Home
1,3,4.83,3.63,Home
2,0,1.71,3.89,Home
0,1,6.34,4.14,Home
0,1,2.27,3.56,Home
1,0,1.79,3.69,Home
2,3,1.64,3.77,Home
0,0,1.7,3.86,Home
1,1,1.63,3.89,Home
1,0,1.18,7.89,Home
0,1,7.97,4.91,Home
1,2,2.63,2.94,Home
1,0,2.37,3.15,Home
1,0,6.15,4.85,Home
1,3,3.42,3.62,Home
1,2,6.18,4.1,Home
0,4,6.17,4.06,Home
3,3,2.84,3.06,Home
2,0,2.09,3.29,Home
3,0,1.87,4,Home
2,1,1.71,4.18,Home
0,1,2.23,3.5,Home
0,0,10.8,6.09,Home
1,0,1.55,4.3,Home
0,1,3.72,3.49,Home
1,0,2.4,3.21,Home
0,0,2.04,3.6,Home
0,5,4.27,4.01,Home
1,1,1.81,4.03,Home
1,1,3.38,3.45,Home
1,1,3.6,3.36,Home
1,1,1.13,9.42,Home
2,2,2.38,3.34,Home
1,0,1.71,4.18,Home
2,0,1.13,9.73,Home
0,1,3.42,3.32,Home
3,1,4.87,3.91,Home
3,0,1.83,3.88,Home
0,0,2.89,3.33,Home
2,2,3.01,3.59,Home
3,0,1.58,4.39,Home
2,1,3.48,3.09,Home
0,3,4.73,4.08,Home
6,2,1.72,4.37,Home
0,2,2.11,3.51,Home
1,1,1.89,3.47,Home
1,1,2.86,3.36,Home
2,1,2.69,3.44,Home
0,1,6.12,4.72,Home
0,7,5.41,4.13,Home
2,3,7.37,4.77,Home
0,0,1.86,3.8,Home
0,0,2.95,3.31,Home
2,1,1.83,3.97,Home
1,1,2.16,3.42,Home
1,1,2.17,3.54,Home
5,2,1.6,4.45,Home
0,2,2.13,3.55,Home
1,1,1.1,11.61,Home
2,1,5.47,3.82,Home
0,1,1.46,4.72,Home
3,0,2.05,3.54,Home
1,1,8.44,5.51,Home
1,1,4.25,3.82,Home
3,0,1.65,4.03,Home
1,0,4.81,4.3,Home
0,0,4.64,4.26,Home
2,1,2.45,3.25,Home
0,1,2.58,3.27,Home
1,2,2.15,3.77,Home
1,2,2.46,3.4,Home
4,0,1.59,4.34,Home
2,0,2.21,3.51,Home
1,2,4.1,3.57,Home
1,5,3.03,3.33,Home
3,1,1.47,5.03,Home
1,3,3.45,3.51,Home
2,0,1.12,10.46,Home
1,1,3.78,3.57,Home
2,1,2.35,3.52,Home
1,2,1.62,4.15,Home
1,2,2.1,3.33,Home
0,0,2.02,3.69,Home
2,3,3.91,3.75,Home
1,0,2.67,3.15,Home
0,1,2.31,3.68,Home
5,0,1.13,10.47,Home
1,1,4.94,4.25,Home
0,2,2.16,3.21,Home
1,1,2.36,3.25,Home
1,0,2.68,3.12,Home
3,0,1.79,4.11,Home
0,0,3.51,3.84,Home
0,1,3.13,3.22,Home
2,3,4.31,3.83,Home
1,0,1.32,5.82,Home
2,0,4.24,4.16,Home
1,2,2.3,3.55,Home
0,2,7.2,4.82,Home
0,3,1.65,4.38,Home
1,1,1.93,4.22,Home
1,0,2.37,3.17,Home
0,1,6.51,4.66,Home
1,0,1.86,3.87,Home
4,1,1.39,5.03,Home
4,1,2.87,3.5,Home
1,3,3.25,3.65,Home
2,0,2.16,3.48,Home
0,0,2.02,3.43,Home
1,4,2.44,3.66,Home
2,0,2.44,3.3,Home
2,1,1.59,4.3,Home
0,1,2,3.63,Home
2,1,3.39,3.36,Home
3,4,2.6,3.57,Home
2,1,1.43,5.21,Home
0,3,5.68,4.28,Home
0,1,10.78,6.09,Home
2,0,2.06,3.16,Home
0,1,5.77,4.37,Home
1,1,1.68,4.06,Home
0,1,1.95,3.56,Home
1,1,1.84,3.49,Home
2,0,3.07,3.57,Home
2,1,1.21,7.38,Home
0,0,2.62,3.49,Home
1,2,2.6,3.19,Home
1,1,6.86,5.16,Home
0,3,1.92,4.02,Home
0,1,2.5,3.39,Home
0,0,2.61,3.29,Home
0,1,2.39,3.61,Home
3,3,1.64,4.2,Home
1,1,3.13,3.24,Home
1,1,2.31,3.19,Home
1,4,4.67,4.2,Home
1,0,1.54,4.8,Home
3,3,1.58,4.54,Home
2,2,4.21,4.22,Home
7,2,6.82,4.93,Home
1,6,2.08,3.65,Home
2,1,1.5,4.38,Home
1,0,1.79,3.52,Home
0,3,1.83,3.95,Home
2,0,1.86,3.8,Home
3,1,2.41,3.29,Home
1,1,8.45,6.96,Home
4,2,1.79,3.78,Home
4,0,1.53,4.36,Home
3,1,1.49,5.16,Home
0,3,3.04,3.42,Home
4,0,3.36,3.32,Home
2,5,1.32,5.93,Home
1,1,1.42,4.89,Home
0,1,2.95,3.4,Home
0,1,3.28,3.41,Home
3,3,6.88,4.82,Home
1,2,3.57,3.36,Home
2,3,5.42,4.19,Home
1,3,6.88,4.59,Home
1,0,2.46,3.18,Home
4,2,1.55,4.23,Home
0,2,3.43,3.86,Home
0,3,2.64,3.2,Home
2,5,3.39,3.4,Home
2,1,1.5,4.52,Home
1,3,1.37,5.13,Home
4,3,1.73,3.86,Home
5,2,1.59,4.09,Home
1,3,6.07,4.43,Home
0,2,3.28,2.89,Home
0,1,2.08,3.43,Home
0,3,3.34,3.36,Home
0,2,2.02,3.62,Home
4,3,1.27,6.26,Home
1,0,3.09,3.26,Home
0,3,5.44,3.98,Home
3,2,2.02,3.8,Home
1,2,2.65,3.38,Home
2,0,1.91,3.4,Home
1,1,6.98,4.47,Home
1,3,2.36,3.69,Home
0,2,3.74,3.61,Home
5,0,1.04,19.78,Home
1,3,5.66,4.58,Home
3,1,1.99,3.62,Home
1,1,2.63,3.56,Home
5,3,1.92,3.8,Home
1,1,1.26,6.53,Home
1,0,3.17,3.77,Home
0,4,9.23,6.18,Home
2,0,1.45,4.29,Home
0,0,2,3.54,Home
0,1,1.98,3.39,Home
3,0,2.34,3.39,Home
0,2,2.45,3.78,Home
0,2,3.26,3.43,Home
3,1,2.49,2.93,Home
0,2,8.79,5.33,Home
1,1,2.29,3.41,Home
1,1,2.12,3.55,Home
2,0,2.15,3.27,Home
2,1,4.56,4.26,Home
1,1,4.62,3.32,Home
2,1,1.15,9.18,Home
1,3,5.33,4.14,Home
1,0,1.13,9.72,Home
2,2,1.28,6.25,Home
4,1,4.83,3.84,Home
2,1,2.77,3.42,Home
2,0,2.37,3.41,Home
3,0,2.1,3.22,Home
0,5,12.48,6.87,Home
3,0,5.05,3.8,Home
1,1,1.23,6.9,Home
0,4,3.67,3.55,Home
2,1,1.92,3.55,Home
0,3,9.1,5.7,Home
0,0,4.83,3.92,Home
1,1,2.1,3.46,Home
1,3,6.17,4.08,Home
5,0,1.11,11.23,Home
1,0,4.14,3.09,Home
0,1,1.87,3.66,Home
1,1,2.23,3.47,Home
2,3,7.8,4.39,Home
2,1,1.76,3.76,Home
1,0,1.99,3.63,Home
1,0,9.29,5.77,Home
2,0,1.2,7.68,Home
2,2,2.76,3.38,Home
1,1,3.19,2.95,Home
3,0,1.37,5.17,Home
0,2,2.4,3.24,Home
3,0,1.65,3.78,Home
5,2,1.2,7.57,Home
0,1,3.59,3.32,Home
4,0,2.02,3.78,Home
3,1,4.82,3.75,Home
3,2,7.07,4.72,Home
4,0,1.46,4.92,Home
1,4,2.22,3.21,Home
2,1,2.61,3.26,Home
0,3,7,4.18,Home
0,1,2.03,3.21,Home
1,3,2.4,3.26,Home
0,1,4.59,3.48,Home
2,1,4.17,4.03,Home
1,0,3.6,3.27,Home
0,2,2.7,3.57,Home
4,0,1.28,5.95,Home
3,0,1.37,4.96,Home
1,1,2.37,3.39,Home
0,1,4.47,3.62,Home
1,0,1.58,3.91,Home
2,0,1.57,4.19,Home
0,0,1.63,3.99,Home
5,0,1.14,9.09,Home
0,0,5.89,3.99,Home
1,2,7.05,4.64,Home
3,0,3.35,3.06,Home
0,2,2.69,3.13,Home
0,2,4.13,3.44,Home
2,1,3.28,3.43,Home
1,1,3.83,3.49,Home
1,1,3.32,3.47,Home
0,3,2.93,3.46,Home
3,0,1.29,6.44,Home
0,0,3.31,3.33,Home
4,0,1.53,4.5,Home
2,0,4.51,3.94,Home
4,0,1.87,3.85,Home
1,1,2.73,3.34,Home
1,0,1.64,4.29,Home
1,0,2.72,3.1,Home
1,0,1.68,3.92,Home
0,1,1.74,3.85,Home
0,0,1.73,3.73,Home
2,1,1.22,7.22,Home
1,1,2.86,3.35,Home
2,3,2.75,3.09,Home
3,0,6.83,4.69,Home
2,2,4.13,3.72,Home
0,0,2.73,3.22,Home
3,1,2.58,3.54,Home
0,1,2.21,3.17,Home
1,0,4.26,3.84,Home
3,2,1.15,8.81,Home
3,2,1.99,3.65,Home
3,0,1.59,3.99,Home
3,0,1.51,4.27,Home
0,1,5.38,4.58,Home
3,0,2.24,3.32,Home
1,0,2.18,3.24,Home
1,1,1.93,3.43,Home
2,0,1.73,4.06,Home
2,1,1.87,3.55,Home
2,0,1.13,10.1,Home
0,2,1.99,3.48,Home
4,0,1.45,4.58,Home
2,3,3.93,3.77,Home
0,1,9.19,5.55,Home
1,2,1.69,3.99,Home
0,0,2.7,3.22,Home
2,1,1.77,3.45,Home
1,1,2.31,3.38,Home
3,1,1.66,3.74,Home
2,0,5.95,4.62,Home
0,0,3.97,3.72,Home
0,0,2.14,3.4,Home
2,1,2.19,3.38,Home
0,1,3.13,3.05,Home
4,0,1.31,5.66,Home
0,0,2.25,3.39,Home
2,3,3.02,3.37,Home
3,3,2.52,3.39,Home
2,2,2.55,3.56,Home
0,2,8.67,5.41,Home
1,2,5.25,4.03,Home
0,2,1.45,4.52,Home
4,1,1.48,4.73,Home
2,1,1.38,5.17,Home
2,2,1.74,3.92,Home
2,1,3.12,3.42,Home
3,1,2.86,3.3,Home
2,2,1.51,4.33,Home
0,1,8.21,4.85,Home
0,2,2.76,3.2,Home
2,0,1.45,4.7,Home
2,1,4.35,3.71,Home
1,0,5.65,4.43,Home
1,1,2,3.4,Home
1,1,1.69,4.19,Home
2,2,1.09,11.75,Home
1,0,2.27,3.5,Home
2,3,2.6,3.16,Home
1,1,2.93,3.45,Home
0,0,3.11,3.67,Home
1,6,15.74,9.39,Home
0,3,2.57,3.44,Home
0,1,4.93,4.11,Home
3,0,1.35,5.24,Home
1,0,1.94,3.76,Home
1,2,1.72,3.9,Home
4,0,1.34,5.49,Home
1,1,1.46,4.48,Home
1,1,4.67,3.92,Home
1,0,1.93,3.47,Home
2,0,1.28,5.7,Home
2,0,2.67,3.68,Home
2,1,1.32,5.78,Home
1,1,2.38,3.4,Home
4,0,1.92,3.65,Home
0,3,4.23,3.87,Home
1,0,3.56,3.87,Home
2,1,3.23,3.29,Home
1,1,3.86,3.96,Home
1,2,1.97,3.42,Home
2,0,1.23,7.01,Home
1,0,1.27,6.24,Home
1,2,2.94,3.71,Home
0,2,4.3,3.67,Home
2,2,4.83,4.48,Home
1,2,2.56,3.64,Home
1,2,3.27,3.35,Home
1,1,1.95,3.56,Home
3,0,1.78,4.08,Home
2,0,1.81,3.82,Home
3,2,6.89,5.47,Home
0,4,3.6,4.08,Home
4,1,1.35,5.41,Home
1,0,2.21,3.72,Home
1,1,3.86,4.14,Home
0,2,1.39,5.1,Home
2,1,2.27,3.44,Home
1,0,1.74,3.68,Home
1,1,1.83,3.6,Home
2,1,1.52,4.49,Home
0,2,2.34,3.61,Home
2,0,4.7,3.83,Home
3,1,1.38,5.72,Home
1,3,2.51,3.68,Home
0,1,2.41,3.32,Home
0,1,2.17,3.36,Home
1,0,2.44,3.11,Home
1,2,4.03,3.84,Home
0,0,2.14,3.84,Home
1,1,2.83,3.25,Home
0,3,6.72,5.9,Home
1,1,1.67,4,Home
1,2,2.9,3.61,Home
0,1,1.81,4.04,Home
1,0,2,3.5,Home
0,1,1.23,6.83,Home
1,1,1.24,6.83,Home
2,0,1.78,3.9,Home
2,0,1.18,7.8,Home
1,3,3.65,4.2,Home
2,2,2.63,3.19,Home
